ZIP,X_COORD,Y_COORD,ZIP_OFFER_NUM,ZIP_OFFER_NUM_LVL,ZIP_RATE_AVG,ZIP_RATE_AVG_LVL,GROUP,LON,LAT
255,-9.148352495397642,4.617910142031947,146,0.4990432586778736,8.26892474222062,2,2,-82.18104871128665,38.27191728746525
405,-9.401587526959794,4.584959989385817,635,0.6455198563340122,8.26804418958225,2,2,-84.45589770455436,38.03916498027664
361,-9.604127566146513,3.806004146683596,2097,0.7648739788956243,8.267019477635278,2,12,-86.27534583303033,32.32466754828357
319,-9.450766685408741,3.821464039801202,2014,0.7608374474380784,8.26560122943596,2,12,-84.89768160150261,32.44194825149939
024,-7.929521825241852,5.215056147801904,189,0.5247024072160487,8.264857897797757,2,19,-71.2321065137408,42.359979908390386
820,-11.711387480635471,5.060309623999306,794,0.6678342114654332,8.264633808945868,2,3,-105.2051837210086,41.32440430741141
856,-12.309899352581677,3.7639939361496597,1797,0.7494430215031566,8.263998789304273,2,14,-110.58170734397122,32.00520539976533
071,-8.257108819070977,4.97411177688687,883,0.6784457062637643,8.262750282130515,2,8,-74.17487054809551,40.740304539143615
666,-10.659672651920314,4.730987140130382,1272,0.7149131598557407,8.261929639030207,2,4,-95.75746866930888,39.06500414248754
623,-10.132609128534687,4.866192756490144,476,0.6167516490888342,8.258698888698113,2,18,-91.02277648171693,40.0017236342068
195,-8.449418329437693,4.92656715149571,616,0.6424869023905388,8.25704388208001,2,8,-75.90241627253513,40.41591417977465
431,-9.23866459577975,4.819515038850017,3383,0.8126813720726114,8.25528036962416,2,2,-82.9923361124285,39.6797642728085
397,-9.892571475008431,3.9655818260696636,375,0.5929589143389895,8.25476820089064,2,12,-88.86648155244872,33.52787379683409
755,-10.514868029999773,3.9357796559711784,985,0.6893656354602635,8.254680948178125,2,5,-94.45666661848519,33.30441225265899
079,-8.298354221024006,4.974350974864749,339,0.5828945617610207,8.254315645024384,2,8,-74.5453842978361,40.741932575815675
492,-9.390135872037305,5.168419399366169,198,0.5293304824724492,8.253989876292042,2,13,-84.35302573810101,42.049648146744644
525,-10.291796396441137,5.004537178354724,50,0.39318256327243256,8.25339005164858,2,10,-92.45278003969287,40.94706691576898
191,-8.364309024338098,4.866406448759239,986,0.6894670039433481,8.251623004214109,2,8,-75.13786637661755,40.00319410338655
531,-9.832247458365675,5.274762517341446,3139,0.80519780789023,8.251210551900511,2,13,-88.32458169095203,42.75505361911627
619,-9.817602322319436,4.815516088513857,291,0.5676753802268282,8.251197256067421,2,18,-88.19302219546859,39.652111356352215
395,-9.908571762973057,3.579521124930323,1434,0.7268920128193722,8.249851343108181,2,12,-89.0102145847381,30.58926222907773
613,-9.927713130172837,5.063696539146784,678,0.6520621127558697,8.24966667586361,2,13,-89.18216441188316,41.347249090047804
472,-9.544605420564451,4.727911273902071,300,0.5707110264748876,8.247827984766753,2,2,-85.7406493018308,39.043547322833234
216,-8.461174210705463,4.702240839229338,82,0.4418840607796598,8.247464681676414,2,17,-76.00802115074646,38.86421976687194
